cc_alias	cc_id	language	lexeme	lexeme_id	status
all-A	175	Afrikaans	AL, ALLE	201	
all-A	175	Danish	ɛl	4714	
all-A	175	Dutch_List	'ɑləs	4914	
all-A	175	English	ɔ:l	5113	
all-A	175	Faroese	ALLIR	5313	
all-A	175	Flemish	ALLE, ALLES	5510	
all-A	175	Frisian	ɔlə, ɔləs, ɔləgjɛr(ə)	6302	
all-A	175	German	'alə	6493	
all-A	175	German_Munich	alle	30276	
all-A	175	Gothic	allai	19913	
all-A	175	Icelandic_ST	ALLIR	8257	
all-A	175	Luxembourgish	all	24092	
all-A	175	Norwegian	alə	13150	
all-A	175	Old_English	ealle	21319	
all-A	175	Old_High_German	alle	27876	
all-A	175	Old_Norse	allir	21561	
all-A	175	Pennsylvania_Dutch	OLL	11970	
all-A	175	Schwyzerdutsch	au	29005	
all-A	175	Sranan	ALA	16903	
all-A	175	Swedish	ˈala	16109	
all-A	175	Swedish_Up	ALL	16308	
all-A	175	Swedish_Vl	AL  AL	16508	
all-B	351	ALBANIAN	GJITH	401	
all-B	351	Albanian_C	GITH	596	
all-B	351	Albanian_G	GJITH	786	
all-B	351	Albanian_Standard	të gjithë	30762	
all-B	351	Albanian_T	gjithë	1176	
all-B	351	Albanian_Top	GITHE	1374	
all-C	543	Albanian_K	tuti	976	LOAN
all-C	543	Brazilian	ˈtodu	2355	
all-C	543	Catalan	tot	3929	
all-C	543	Dolomite_Ladino	dut	31711	
all-C	543	French	tu	5707	
all-C	543	French_Creole_C	TUT	5907	
all-C	543	French_Creole_D	TUT	6106	
all-C	543	Friulian	dut	26163	
all-C	543	Italian	'tutto	8845	
all-C	543	Ladin	TUOT	9426	
all-C	543	Latin	tōtus	20335	EXCLUDE
all-C	543	Portuguese_ST	ˈtoðu	12750	
all-C	543	Provencal	TOUT, TOUTO	12950	
all-C	543	Romansh	tut(ta)	26370	
all-C	543	Rumanian_List	TOTI (M. PL.), TOATE (N. PL.)	13348	
all-C	543	Sardinian_C	TOTTU	13939	
all-C	543	Sardinian_L	TOTU	14138	
all-C	543	Sardinian_N	TOTTU	14338	
all-C	543	Spanish	'toðo	15909	
all-C	543	Vlach	TUTI	17488	
all-C	543	Walloon	TOT	17846	
all-D	566	Armenian_List	BOLOR	1574	
all-D	566	Armenian_Mod	boˈloɾ	1766	
all-E	682	Baluchi	KULL	1962	LOAN
all-E	682	Kashmiri	SORI	9044	
all-F	748	Baluchi	SARO	25065	LOAN
all-F	748	Bengali	SOB	2157	
all-F	748	Bihari	səb	19306	
all-F	748	Gypsy_Gk	SAVORA	7875	
all-F	748	Hindi	SEB, SARA	8057	
all-F	748	Khaskura	SABAI	9239	
all-F	748	Lahnda	SEBU, SARE	9624	
all-F	748	Marathi	'səɾwə, 'səgɭə	11189	
all-F	748	Marwari	səi	20808	
all-F	748	Nepali	SAB, SABAI, SARBA	11389	
all-F	748	Oriya	sɔbɔ	22037	
all-F	748	Panjabi_ST	SEB, SARA	11772	
all-F	748	Sindhi	sabhu	22837	
all-F	748	Urdu	səb	24311	
all-G	965	Breton_List	AN HOLL	2552	
all-G	965	Breton_Se	OL	2751	
all-G	965	Breton_ST	ɔl	2949	
all-G	965	Cornish	an ol	19580	
all-G	965	Cornish	ol an	19579	
all-G	965	Cornish	oll	19581	
all-G	965	Greek_D	HOLOI	6692	
all-G	965	Greek_K	HOLOI	6890	
all-G	965	Greek_Md	HOLOI	7088	
all-G	965	Greek_Ml	HOLOS	7283	
all-G	965	Greek_Mod	ˈo̞lo̞s	7482	
all-G	965	Irish_A	UILE, GO LEIR, AR FAD	8452	
all-G	965	Irish_B	UILE	8651	
all-G	965	Manx	ooilley	31946	
all-G	965	Old_Breton	holl	32065	
all-G	965	Old_Irish	uili	28131	
all-G	965	Old_Welsh	hol	32200	
all-G	965	Scots_Gaelic	uile	23858	
all-G	965	Tocharian_A	salu	24504	
all-G	965	Tocharian_B	solme	24505	
all-H	1102	Avestan	vispe	27674	
all-H	1102	Bulgarian	ˈfsit͡ʃki	3147	
all-H	1102	BULGARIAN_P	VSEKI	3346	
all-H	1102	Byelorussian	WSE, WSE	3538	
all-H	1102	BYELORUSSIAN_P	UVES	3737	
all-H	1102	Czech	fʃɪxɲɪ	4126	
all-H	1102	Czech_E	FSECKI	4324	
all-H	1102	CZECH_P	VSECHEN	4523	
all-H	1102	Latvian	visi	20575	
all-H	1102	Latvian	VISS	9823	
all-H	1102	Lithuanian_O	VISAS, VISI (PL)	10022	
all-H	1102	Lithuanian_ST	‘ʋʲɪskɐs	10221	
all-H	1102	Lower_Sorbian	WSEN	10421	
all-H	1102	Macedonian	SA, SIOV-N-T	10805	
all-H	1102	MACEDONIAN_P	SIOT	10997	
all-H	1102	Old_Church_Slavonic	vĭsi	21070	
all-H	1102	Old_Persian	visā	28676	
all-H	1102	Old_Prussian	wissay	21854	
all-H	1102	Polish	ˈfʃɨsʦɨ	12358	
all-H	1102	POLISH_P	WSZYSTEK	12558	
all-H	1102	Russian	vsʲo	13547	
all-H	1102	RUSSIAN_P	VES	13747	
all-H	1102	Serbian	sʋê	22597	
all-H	1102	Serbocroatian	SAV	14536	
all-H	1102	SERBOCROATIAN_P	sʋê	27126	
all-H	1102	SERBOCROATIAN_P	VAS	14735	
all-H	1102	Slovak	VSETKO	15127	
all-H	1102	SLOVAK_P	VSETOK	15326	
all-H	1102	Slovenian	VSE	15518	
all-H	1102	SLOVENIAN_P	VES	15717	
all-H	1102	Ukrainian	UVES'	17096	
all-H	1102	UKRAINIAN_P	VES	17296	
all-H	1102	Upper_Sorbian	WSON	10613	
all-H	1102	Vedic_Sanskrit	víśvē	22325	
all-I	1978	Kurdish	hemû	24559	
all-I	1978	Persian	hæme	12161	
all-I	1978	Tadzik	XAMA	16707	
all-I	1978	Waziri	HAMAGI	18046	
all-I	1978	Zazaki	heme	29498	
all-J	3193	Digor_Ossetic	ɐppɐt	27262	
all-J	3193	Iron_Ossetic	ɐppɐt	27261	
all-K	2135	Welsh_C	PAWB	18238	
all-K	2135	Welsh_N	POB	18438	
all-L	2462	Ancient_Greek	πᾶς	18637	
all-L	2462	Tocharian_A	pont-	23090	
all-L	2462	Tocharian_B	poñc	23263	
all-M	3154	Hittite	hūmantes	20146	
all-M	3154	Latin	ˈomnis	20334	
all-N	3297	Luvian	pūnatinzi	28822	
all-N	3297	Luvian	tanimminzi	28823	
all-N	3297	Lycian	punemedezi	28928	
all-N	3297	Lycian	huwedri	28927	
all-O	3793	Sogdian	’γ’c	29240	
all-P	3794	Wakhi	KUXT, CU, CUST	17669	
all-Q	3795	Tadzik	TAMOM	24503	LOAN
all-R	3796	Baluchi	DRUH	25063	
all-S	3797	Baluchi	THEGH, THEWAGH	25064	
all-S	3797	Kurdish	tev	24561	
all-T	3798	Kurdish	giş	24560	
all-U	3799	Zazaki	pēro	29499	
all-V	3800	Waziri	GHWUT	24506	
all-W	3801	Pashto	TOL	1	
all-X	3802	Shughni	buqaθ	29715	
all-Y	3803	Sariqoli	ǰam	29993	
all-Z	3804	Ossetic	iuuɨldær	11588	
and-A	1	Assamese	āru	19018	
and-A	1	Bengali	ɑːɹ	2158	
and-A	1	Bihari	aur	19309	
and-A	1	Hindi	OR	8058	
and-A	1	Khaskura	ARU, RA	9240	
and-A	1	Marwari	ōr	20811	
and-A	1	Marwari	ər	20812	
and-A	1	Nepali	AU, RA	11390	
and-A	1	Oriya	o	22038	
and-A	1	Sindhi	aũ	22840	
and-A	1	Urdu	ʔɔɾ	24498	
and-B	176	Afrikaans	EN	202	
and-B	176	Dutch_List	ɛn	4915	
and-B	176	English	ænd	5114	
and-B	176	Flemish	EN	5511	
and-B	176	Frisian	ɛn	6303	
and-B	176	German	ʊnt	6494	
and-B	176	German_Munich	und	30277	
and-B	176	Luxembourgish	an	24291	
and-B	176	Old_English	and	21320	
and-B	176	Old_High_German	inti	27877	
and-B	176	Pennsylvania_Dutch	UUN	11971	
and-B	176	Schwyzerdutsch	und	29006	
and-B	176	Sranan	EN	16904	
and-C	352	ALBANIAN	ENE, NE, E	402	
and-C	352	Albanian_C	E	597	
and-C	352	Albanian_G	ENE, NE, E	787	
and-C	352	Albanian_K	EDHE	977	
and-C	352	Albanian_Standard	dhe	30595	
and-C	352	Albanian_T	ðɛ	1177	
and-C	352	Albanian_Top	DHE	1375	
and-D	567	Armenian_List	YEV	1575	
and-D	567	Armenian_Mod	jɛv	1767	
and-D	567	Classical_Armenian	ew	28439	
and-E	683	Baluchi	GUDA, DI, WA, O	1963	
and-E	683	Pashto	AU	2	
and-E	683	Persian	VA	12162	
and-E	683	Tadzik	VA	16708	
and-E	683	Waziri	AU	18047	
and-F	848	Brazilian	E	2356	
and-F	848	Catalan	i	3930	
and-F	848	Dolomite_Ladino	e	31712	
and-F	848	French	e	5708	
and-F	848	French_Creole_C	EPI, E	5908	
and-F	848	French_Creole_D	EPI	6107	
and-F	848	Friulian	e	26164	
and-F	848	Gaulish	etic	30213	
and-F	848	Italian	e, ed	8846	
and-F	848	Ladin	E, ED	9427	
and-F	848	Latin	et	20336	
and-F	848	Portuguese_ST	i	12751	
and-F	848	Provencal	E, EME, EMAI	12951	
and-F	848	Romansh	e, ed	26371	
and-F	848	Sardinian_C	E	13940	
and-F	848	Sardinian_L	E  E	14139	
and-F	848	Sardinian_N	E	14339	
and-F	848	Spanish	i	15910	
and-F	848	Umbrian	et	28757	
and-F	848	Walloon	ET	17847	
and-G	966	Breton_List	HA, HAG	2553	
and-G	966	Breton_Se	HA, HAG	2752	
and-G	966	Breton_ST	a	2950	
and-G	966	Cornish	ha(g)	19582	
and-G	966	Irish_A	AGUS	8453	
and-G	966	Irish_B	ˈaɡəs	8652	
and-G	966	Old_Irish	ocus	28132	
and-G	966	Scots_Gaelic	agus	24071	
and-G	966	Welsh_C	A	18239	
and-G	966	Welsh_N	a:	18439	
and-H	1103	Bulgarian	i, ɐ	3148	
and-H	1103	BULGARIAN_P	I	3347	
and-H	1103	Byelorussian	I	3539	
and-H	1103	BYELORUSSIAN_P	I	3738	
and-H	1103	Czech	a	4127	
and-H	1103	Czech_E	AY	4325	
and-H	1103	CZECH_P	I	4524	
and-H	1103	Lower_Sorbian	I	10422	
and-H	1103	Macedonian	I	10806	
and-H	1103	MACEDONIAN_P	I	10998	
and-H	1103	Old_Church_Slavonic	i	21071	
and-H	1103	Polish	i	12359	
and-H	1103	POLISH_P	I	12559	
and-H	1103	Russian	i	13548	
and-H	1103	RUSSIAN_P	I	13748	
and-H	1103	Serbian	i	22598	
and-H	1103	Serbocroatian	I	14537	
and-H	1103	SERBOCROATIAN_P	i	14736	
and-H	1103	Slovak	A, I	15128	
and-H	1103	SLOVAK_P	I	15327	
and-H	1103	SLOVENIAN_P	I	15718	
and-H	1103	Ukrainian	I, J	17097	
and-H	1103	UKRAINIAN_P	I	17297	
and-H	1103	Upper_Sorbian	I	10614	
and-I	1303	Danish	ɒw, ʌ	4715	
and-I	1303	Faroese	oː	5314	
and-I	1303	Icelandic_ST	ɔːɣ	8258	
and-I	1303	Norwegian	OG	13151	
and-I	1303	Old_Norse	ok	21562	
and-I	1303	Swedish	ɔ(kː)	16110	
and-I	1303	Swedish_Up	OCH	16309	
and-J	1447	Ancient_Greek	ka:ɪ	18639	
and-J	1447	Greek_D	KAI	6693	
and-J	1447	Greek_K	KAI	6891	
and-J	1447	Greek_Md	KAI, ME	7089	
and-J	1447	Greek_Ml	KAI	7284	
and-J	1447	Greek_Mod	ce̞, c(i)	7483	
and-K	1591	Gujarati	ANE	7683	
and-K	1591	Marathi	'ani	11190	
and-L	1775	Bihari	tathā	19308	
and-L	1775	Gujarati	TATHA	25170	
and-L	1775	Gypsy_Gk	DA	7876	
and-L	1775	Kashmiri	TA	9045	
and-L	1775	Lahnda	TE	9625	
and-L	1775	Panjabi_ST	TE	11773	
and-M	1884	Lithuanian_O	IR	10023	
and-M	1884	Lithuanian_ST	ir̃	10222	
and-M	1884	Rumanian_List	IAR	13349	
and-N	3155	Latvian	ùn	20576	
and-N	3155	Latvian	UN	9824	
and-O	2528	Ancient_Greek	τε	18638	EXCLUDE
and-O	2528	Avestan	ča	27675	
and-O	2528	Gaulish	etic	30213	
and-O	2528	Old_Persian	-čā	28678	
and-O	2528	Old_Persian	utā	28677	
and-O	2528	Proto-Indo-European	*kʷe	23833	
and-O	2528	Sogdian	rty	29241	
and-O	2528	Tocharian_A	śkaṃ	23091	
and-O	2528	Vedic_Sanskrit	ca	22326	
and-P	2529	Bengali	ebɔŋ	25166	
and-P	2529	Bihari	ebã	19307	
and-Q	3188	Digor_Ossetic	ɐma	27264	
and-Q	3188	Iron_Ossetic	ɐmɐ	27263	
and-Q	3188	Ossetic	æmæ	11589	
