language	glottocode	ielex
Old_Irish	oldi1246	Old_Irish
Irish	iris1253	Irish_B
Scots_Gaelic	scot1245	Scots_Gaelic
Welsh	wels1247	Welsh_N
Breton	bret1244	Breton_ST
Cornish	corn1251	Cornish
Latin	lati1261	Latin
Nuorese	nuor1238	Sardinian_N
Cagliari	sard1257	Sardinian_C
Romanian	megl1237	Rumanian_List
Arumanian	arom1237	Vlach
Catalan	stan1289	Catalan
Portuguese	port1283	Portuguese_ST
Spanish	stan1288	Spanish
French	stan1290	French
Provencal	prov1235	Provencal
Walloon	wall1255	Walloon
Ladin	ladi1250	Ladin
Romansh	roma1326	Romansh
Friulian	friu1240	Friulian
Italian	ital1282	Italian
Gothic	goth1244	Gothic
Old_West_Norse	oldw1240	Old_Norse
Icelandic	icel1247	Icelandic_ST
Faroese	faro1244	Faroese
Norwegian	norw1258	Norwegian
Swedish	swed1254	Swedish
Danish	dani1285	Danish
English	stan1293	English
Old_English	olde1238	Old_English
Frisian	fris1239	Frisian
Old_High_German	oldh1241	Old_High_German
German	stan1295	German
Luxembourgish	luxe1243	Luxembourgish
Swiss_German	swis1247	Schwyzerdutsch
Dutch	cent2352	Dutch_List
Flemish	cent2353	Flemish
Afrikaans	afri1274	Afrikaans
Tosk	alba1268	Albanian_Standard
Arvanitika	arva1236	Albanian_T
Ancient_Greek	anci1242	Ancient_Greek
Modern_Greek	mode1248	Greek_Mod
Classical_Armenian	clas1256	Classical_Armenian
Eastern_Armenian	nucl1235	Armenian_Mod
Adapazar	homs1234	Armenian_List
Old_Prussian	prus1238	Old_Prussian
Lithuanian	lith1251	Lithuanian_ST
Latvian	latv1249	Latvian
Czech	czec1258	Czech
Slovak	slov1269	Slovak
Polish	poli1260	Polish
Lower_Sorbian	lowe1385	Lower_Sorbian
Upper_Sorbian	uppe1395	Upper_Sorbian
Ukrainian	ukra1253	Ukrainian
Belarusian	bela1254	Byelorussian
Russian	russ1263	Russian
Slovenian	slov1268	Slovenian
Macedonian	mace1250	Macedonian
Bulgarian	bulg1262	Bulgarian
Serbian	sout1528	Serbian
Old_Church_Slavic	chur1257	Old_Church_Slavonic
Avestan	aves1237	Avestan
Pashto	pash1269	Pashto
Waziri	waci1238	Waziri
Tajik	taji1245	Tadzik
Persian	west2369	Persian
Sogdian	sogd1245	Sogdian
Wakhi	wakh1245	Wakhi
Baluchi	east2304	Baluchi
Kurdish	kurd1259	Kurdish
Zazaki	kirm1248	Zazaki
Shughni	shug1248	Shughni
Sariqoli	sari1246	Sariqoli
Digor_Ossetic	digo1242	Digor_Ossetic
Vedic_Sanskrit	sans1269	Vedic_Sanskrit
Nepali	nepa1254	Nepali
Assamese	assa1263	Assamese
Oriya	oriy1255	Oriya
Bengali	beng1280	Bengali
Bihari	biha1245	Bihari
Marwari	marw1260	Marwari
Hindi	hind1269	Hindi
Urdu	urdu1245	Urdu
Sindhi	sind1272	Sindhi
Lahnda	lahn1241	Lahnda
Panjabi	panj1256	Panjabi_ST
Gujarati	guja1252	Gujarati
Marathi	mara1378	Marathi
Kashmiri	kash1277	Kashmiri
Singhalese	sinh1246	Singhalese
Romani	roma1329	Gypsy_Gk
Tocharian_A	tokh1242	Tocharian_A
Tocharian_B	tokh1243	Tocharian_B
Hittite	hitt1242	Hittite
