LANGUAGE,GLOTTOCODE,CONCEPT,COGNATE
Adapazar,homs1234,ALL,all_d
Afrikaans,afri1274,ALL,all_a
Ancient_Greek,anci1242,ALL,all_l
Arumanian,arom1237,ALL,all_c
Arvanitika,arva1236,ALL,all_b
Assamese,assa1263,ALL,all_0
Avestan,aves1237,ALL,all_h
Baluchi,east2304,ALL,all_e
Baluchi,east2304,ALL,all_f
Baluchi,east2304,ALL,all_r
Baluchi,east2304,ALL,all_s
Belarusian,bela1254,ALL,all_h
Bengali,beng1280,ALL,all_f
Bihari,biha1245,ALL,all_f
Breton,bret1244,ALL,all_g
Bulgarian,bulg1262,ALL,all_h
Cagliari,sard1257,ALL,all_c
Catalan,stan1289,ALL,all_c
Classical_Armenian,clas1256,ALL,all_0
Cornish,corn1251,ALL,all_g
Czech,czec1258,ALL,all_h
Danish,dani1285,ALL,all_a
Digor_Ossetic,digo1242,ALL,all_j
Dutch,cent2352,ALL,all_a
Eastern_Armenian,nucl1235,ALL,all_0
Eastern_Armenian,nucl1235,ALL,all_d
English,stan1293,ALL,all_a
Faroese,faro1244,ALL,all_a
Flemish,cent2353,ALL,all_a
French,stan1290,ALL,all_c
Frisian,fris1239,ALL,all_a
Friulian,friu1240,ALL,all_c
German,stan1295,ALL,all_a
Gothic,goth1244,ALL,all_a
Gujarati,guja1252,ALL,all_0
Hindi,hind1269,ALL,all_f
Hittite,hitt1242,ALL,all_m
Icelandic,icel1247,ALL,all_a
Irish,iris1253,ALL,all_g
Italian,ital1282,ALL,all_c
Kashmiri,kash1277,ALL,all_e
Kurdish,kurd1259,ALL,all_i
Kurdish,kurd1259,ALL,all_s
Kurdish,kurd1259,ALL,all_t
Ladin,ladi1250,ALL,all_c
Lahnda,lahn1241,ALL,all_f
Latin,lati1261,ALL,all_c
Latin,lati1261,ALL,all_m
Latvian,latv1249,ALL,all_h
Lithuanian,lith1251,ALL,all_h
Lower_Sorbian,lowe1385,ALL,all_h
Luxembourgish,luxe1243,ALL,all_a
Macedonian,mace1250,ALL,all_0
Macedonian,mace1250,ALL,all_h
Marathi,mara1378,ALL,all_f
Marwari,marw1260,ALL,all_f
Modern_Greek,mode1248,ALL,all_g
Nepali,nepa1254,ALL,all_f
Norwegian,norw1258,ALL,all_a
Nuorese,nuor1238,ALL,all_c
Old_Church_Slavic,chur1257,ALL,all_h
Old_English,olde1238,ALL,all_a
Old_High_German,oldh1241,ALL,all_a
Old_Irish,oldi1246,ALL,all_g
Old_Prussian,prus1238,ALL,all_h
Old_West_Norse,oldw1240,ALL,all_a
Oriya,oriy1255,ALL,all_f
Panjabi,panj1256,ALL,all_f
Pashto,pash1269,ALL,all_w
Persian,west2369,ALL,all_i
Polish,poli1260,ALL,all_0
Polish,poli1260,ALL,all_h
