concept	concepticon	id
I	I	1209
all	ALL	98
and	AND	1577
animal	ANIMAL	619
ashes	ASH	646
at	AT	1461
back	BACK	1291
bad	BAD	1292
bark	BARK	1204
because	BECAUSE	1157
belly	BELLY	1251
big	BIG	1202
bird	BIRD	937
bite	BITE	1403
black	BLACK	163
blood	BLOOD	946
blow	BLOW (OF WIND)	175
bone	BONE	1394
breast	BREAST	1402
breathe	BREATHE	1407
burn	BURN	2102
child	CHILD	2099
cloud	CLOUD	1489
cold	COLD	1287
come	COME	1446
count	COUNT	1420
cut	CUT	1432
day	DAY (NOT NIGHT)	1225
die	DIE	1494
dig	DIG	1418
dirty	DIRTY	1230
dog	DOG	2009
drink	DRINK	1401
dry	DRY	1398
dull	BLUNT	379
dust	DUST	2
ear	EAR	1247
earth	EARTH (SOIL)	1228
eat	EAT	1336
egg	EGG	744
eye	EYE	1248
fall	FALL	1280
far	FAR	1406
fat	FAT (ORGANIC SUBSTANCE)	323
father	FATHER	1217
fear	FEAR (TO BE AFRAID)	1419
feather	FEATHER	1201
few	FEW	1242
fight	FIGHT	1423
fingernail	FINGERNAIL	1258
fire	FIRE	221
fish	FISH	227
five	FIVE	493
float	FLOAT	1574
flow	FLOW	2003
flower	FLOWER	239
fly	FLY (MOVE THROUGH AIR)	1441
fog	FOG	249
foot	FOOT	1301
four	FOUR	1500
freeze	FREEZE	1431
fruit	FRUIT	1507
full	FULL	1429
give	GIVE	1447
good	GOOD	1035
grass	GRASS	606
green	GREEN	1425
guts	GUTS	1334
hair	HAIR	1040
hand	HAND	1277
he	HE	1211
head	HEAD	1256
hear	HEAR	1408
heart	HEART	1223
heavy	HEAVY	1210
here	HERE	136
hit	HIT	1433
hold	HOLD	1448
horn	HORN (ANATOMY)	1393
how	HOW	1239
hunt	HUNT	1435
husband	HUSBAND	1200
ice	ICE	617
if	IF	1459
in	IN	1460
kill	KILL	1417
knee	KNEE	1371
know	KNOW	3626
lake	LAKE	624
laugh	LAUGH	1355
leaf	LEAF	628
left	LEFT	244
leg	LEG	1297
lie	LIE (REST)	1411
live	BE ALIVE	1422
liver	LIVER	1224
long	LONG	1203
louse	LOUSE	1392
man	MAN	1554
many	MANY	1198
meat	MEAT	634
moon	MOON	1313
mother	MOTHER	1216
mountain	MOUNTAIN	639
mouth	MOUTH	674
name	NAME	1405
narrow	NARROW	1267
near	NEAR	1942
neck	NECK	1333
new	NEW	1231
night	NIGHT	1233
nose	NOSE	1221
not	NOT	1240
old	OLD	1229
one	ONE	1493
other	OTHER	197
person	PERSON	683
play	PLAY	1413
pull	PULL	1455
push	PUSH	1452
rain	RAINING OR RAIN	2108
red	RED	156
right	CORRECT (RIGHT)	1725
rightside	RIGHT	1019
river	RIVER	666
road	ROAD	667
root	ROOT	670
rope	ROPE	1218
rotten	ROTTEN	1728
round	ROUND	1395
rub	RUB	1449
salt	SALT	1274
sand	SAND	671
say	SAY	1458
scratch	SCRATCH	1436
sea	SEA	1474
see	SEE	1409
seed	SEED	714
sew	SEW	1457
sharp	SHARP	1396
short	SHORT	1645
sing	SING	1261
sit	SIT	1416
skin	SKIN	763
sky	SKY	1732
sleep	SLEEP	1585
small	SMALL	1246
smell	SMELL	2124
smoke	SMOKE (EXHAUST)	778
smooth	SMOOTH	1234
snake	SNAKE	730
snow	SNOW	784
some	SOME	1241
spit	SPIT	1440
split	SPLIT	1437
squeeze	SQUEEZE	1414
stab	STAB	1434
stand	STAND	1442
star	STAR	1430
stick	STICK	1295
stone	STONE	857
straight	STRAIGHT	1404
suck	SUCK	1421
sun	SUN	1343
swell	SWELL	1573
swim	SWIM	1439
tail	TAIL	1220
that	THAT	78
there	THERE	1937
they	THEY	817
thick	THICK	1244
thin	THIN	2308
think	THINK	2271
this	THIS	1214
thou	THOU	1215
three	THREE	492
throw	THROW	1456
tie	TIE	1917
tongue	TONGUE	1205
tooth	TOOTH	1380
tree	TREE	906
turn	TURN	1588
two	TWO	1498
vomit	VOMIT	1278
walk	WALK	1443
warm	WARM	1232
wash	WASH	1453
water	WATER	948
we	WE	1212
wet	WET	1726
what	WHAT	1236
when	WHEN	1238
where	WHERE	1237
white	WHITE	1335
who	WHO	1235
wide	WIDE	1243
wife	WIFE	1199
wind	WIND	960
wing	WING	1257
wipe	WIPE	1454
with	WITH	1340
woman	WOMAN	962
woods	FOREST	420
worm	WORM	1219
year	YEAR	1226
yellow	YELLOW	1424
you	YOU	1213
