DOCULECT,GLOTTOCODE,CONCEPT,CONCEPTICON_GLOSS,CONCEPTICON_ID,COGNATE
Adapazar,homs1234,I,I,1209,i_a
Afrikaans,afri1274,I,I,1209,i_a
Ancient_Greek,anci1242,I,I,1209,i_a
Arumanian,arom1237,I,I,1209,i_a
Arvanitika,arva1236,I,I,1209,i_a
Assamese,assa1263,I,I,1209,i_a
Avestan,aves1237,I,I,1209,i_a
Baluchi,east2304,I,I,1209,i_a
Belarusian,bela1254,I,I,1209,i_a
Bengali,beng1280,I,I,1209,i_a
Bihari,biha1245,I,I,1209,i_a
Breton,bret1244,I,I,1209,i_a
Bulgarian,bulg1262,I,I,1209,i_a
Cagliari,sard1257,I,I,1209,i_a
Catalan,stan1289,I,I,1209,i_a
Classical_Armenian,clas1256,I,I,1209,i_a
Cornish,corn1251,I,I,1209,i_a
Czech,czec1258,I,I,1209,i_a
Danish,dani1285,I,I,1209,i_a
Digor_Ossetic,digo1242,I,I,1209,i_a
Dutch,cent2352,I,I,1209,i_a
Eastern_Armenian,nucl1235,I,I,1209,i_a
English,stan1293,I,I,1209,i_a
Faroese,faro1244,I,I,1209,i_a
Flemish,cent2353,I,I,1209,i_a
French,stan1290,I,I,1209,i_a
Frisian,fris1239,I,I,1209,i_a
Friulian,friu1240,I,I,1209,i_a
German,stan1295,I,I,1209,i_a
Gothic,goth1244,I,I,1209,i_a
Gujarati,guja1252,I,I,1209,i_a
Hindi,hind1269,I,I,1209,i_a
Hittite,hitt1242,I,I,1209,i_a
Icelandic,icel1247,I,I,1209,i_a
Irish,iris1253,I,I,1209,i_a
Italian,ital1282,I,I,1209,i_a
Kashmiri,kash1277,I,I,1209,i_b
Kurdish,kurd1259,I,I,1209,i_a
Ladin,ladi1250,I,I,1209,i_a
Lahnda,lahn1241,I,I,1209,i_a
Latin,lati1261,I,I,1209,i_a
Latvian,latv1249,I,I,1209,i_a
Lithuanian,lith1251,I,I,1209,i_a
Lower_Sorbian,lowe1385,I,I,1209,i_a
Luxembourgish,luxe1243,I,I,1209,i_a
Macedonian,mace1250,I,I,1209,i_a
Marathi,mara1378,I,I,1209,i_a
Marwari,marw1260,I,I,1209,i_a
